mtu 1500,
parallel connections, tx half-duplex, rx half-duplex, tx full-duplex, rx full-duplex,
1,30.4,20.3,24.0,16.7,
2,48.2,35.6,43.6,35.6,
3,64.2,51.5,63.4,45.0,
4,75.7,48.5,64.4,53.2,
5,71.6,59.7,69.4,42.3,
6,76.2,57.6,70.6,43.2,
7,76.3,53.4,54.8,41.5,
8,76.1,49.5,49.0,36.4,

mtu 9000,
parallel connections, tx half-duplex, rx half-duplex, tx full-duplex, rx full-duplex,
1,30.6,37.3,29.0,44.4,
2,65.3,78.0,58.3,77.3,
3,74.1,83.4,84.0,70.0,
4,83.0,68.3,86.7,61.9,
5,92.0,61.3,79.8,52.8,
6,91.8,60.5,91.1,50.9,
7,91.9,55.7,85.0,49.8,
8,92.0,54.1,88.2,47.1,

