mtu 1500,
parallel connections, tx half-duplex, rx half-duplex, tx full-duplex, rx full-duplex,
1,31.0,21.1,27.2,18.6,
2,48.4,38.2,45.9,29.8,
3,71.4,42.0,55.6,47.9,
4,74.5,70.3,64.3,49.3,
5,75.3,62.0,65.8,41.5,
6,74.9,45.3,57.8,36.4,
7,76.0,53.4,50.9,40.9,
8,75.9,48.5,46.1,39.5,

mtu 9000,
parallel connections, tx half-duplex, rx half-duplex, tx full-duplex, rx full-duplex,
1,28.4,39.6,29.6,53.6,
2,57.8,83.4,73.4,72.3,
3,76.1,83.6,86.0,64.0,
4,87.4,66.1,88.2,56.7,
5,90.2,60.1,90.7,52.7,
6,92.5,58.8,90.4,50.9,
7,92.3,55.8,88.7,51.1,
8,91.7,55.4,88.8,49.7,

