mtu 1500,
parallel connections, tx half-duplex, rx half-duplex, tx full-duplex, rx full-duplex,
1,35.0,29.5,36.1,34.1,
2,68.9,78.8,69.5,70.3,
3,82.0,90.1,60.2,82.9,
4,91.8,91.3,88.1,90.3,
5,92.4,91.4,89.9,90.2,
6,90.9,91.4,89.6,89.6,
7,91.0,90.9,88.3,89.7,
8,90.5,90.4,88.4,88.2,

mtu 9000,
parallel connections, tx half-duplex, rx half-duplex, tx full-duplex, rx full-duplex,
1,31.2,45.6,40.9,30.5,
2,62.9,55.8,67.7,56.1,
3,93.4,81.7,84.4,83.9,
4,95.9,96.3,91.8,95.0,
5,95.9,95.7,84.1,89.5,
6,92.9,95.9,79.0,84.0,
7,88.2,92.2,85.2,87.7,
8,78.4,95.2,86.3,88.9,

